//,1,2,3,4,5,6,7,8
//,装备名,设置符等级,设置福符U190,经验,属性,下级装备,上一个,
0,洗髓境,3,1,150,1,顺风顺水符[V2],魔血石Lv.5,
1,辟谷境,3,4,200,2,鸿运当头符[V3],魔血石Lv.6,
2,融合境,3,7,300,3,喜气洋洋符[V4],魔血石Lv.7,
3,练气境,3,10,500,4,吉祥如意符[V5],魔血石Lv.8,
4,筑基境,3,13,1000,5,春风得意符[V6],魔血石Lv.9,
5,金丹境,3,16,1500,6,金榜题名符[V7],,
6,元婴境,3,19,2000,7,福如东海符[V8],,
7,出窍境,3,22,2500,8,笑口常开符[V9],,
8,分神境,3,25,3000,9,一帆风顺符[V10],,
9,合体境,3,28,3500,10,花开富贵符[V11],,
10,渡劫境,3,31,4000,11,大吉大利符[V12],,
11,大乘境,3,34,5000,12,天降横财符[V13],,
12,散仙境,3,37,10000,13,吉星高照符[V14],,
13,地仙境,3,40,12000,13,安康福寿符[V15],,
14,人仙境,3,43,14000,13,心想事成符[V16],,
15,天仙境,3,46,16000,13,福禄寿喜符[V17],,
16,金仙境,3,49,18000,13,招财进宝符[V18],,
17,玄仙境,3,52,20000,13,锦绣前程符[V19],,
18,仙君境,3,55,22000,13,一本万利符[V20],,
19,仙帝境,3,58,24000,13,一马平川符[V21],,
20,仙尊境,3,61,26000,13,紫气东来符[V22],,
21,神人境,3,64,50000,13,步步高升符[V23],,
22,天神境,3,67,52000,13,金玉满堂符[V24],,
23,玄神境,3,70,54000,13,梦想成真符[V25],,
24,神王境,3,73,56000,14,梦想成真符[V25],,
25,神君境,3,76,58000,,,,
26,真神境,3,79,60000,,,,
27,天帝境,3,82,62000,,,,
28,神帝境,3,85,64000,,,,
29,天尊境,3,88,66000,,,,
30,主宰境,3,91,68000,,,,
