//,1,2,3,4,5,6,7,8,9,10
//,当前等级,当前属性,下级等级,下级属性,打造材料,材料数量,打造货币,货币数量,打造货币,货币数量
0,天魔妖体Lv0,0,天魔妖体Lv1,2,梦想神石,10,元宝,1000000,灵符,50
1,天魔妖体Lv1,2,天魔妖体Lv2,4,梦想神石,20,元宝,1500000,灵符,100
2,天魔妖体Lv2,4,天魔妖体Lv3,6,梦想神石,30,元宝,2000000,灵符,150
3,天魔妖体Lv3,6,天魔妖体Lv4,8,梦想神石,40,元宝,2500000,灵符,200
4,天魔妖体Lv4,8,天魔妖体Lv5,10,梦想神石,50,元宝,3000000,灵符,250
5,天魔妖体Lv5,10,天魔妖体Lv6,12,梦想神石,60,元宝,3500000,灵符,300
6,天魔妖体Lv6,12,天魔妖体Lv7,14,梦想神石,70,元宝,4000000,灵符,350
7,天魔妖体Lv7,14,天魔妖体Lv8,16,梦想神石,80,元宝,4500000,灵符,400
8,天魔妖体Lv8,16,天魔妖体Lv9,18,梦想神石,90,元宝,5000000,灵符,450
9,天魔妖体Lv9,18,天魔妖体Lv10,20,梦想神石,100,元宝,5500000,灵符,500
10,天魔妖体Lv10,20,天魔妖体Lv11,22,悟空宝石,10,元宝,6000000,灵符,600
11,天魔妖体Lv11,22,天魔妖体Lv12,24,悟空宝石,12,元宝,6500000,灵符,650
12,天魔妖体Lv12,24,天魔妖体Lv13,26,悟空宝石,14,元宝,7000000,灵符,700
13,天魔妖体Lv13,26,天魔妖体Lv14,28,悟空宝石,16,元宝,7500000,灵符,750
14,天魔妖体Lv14,28,天魔妖体Lv15,30,悟空宝石,18,元宝,8000000,灵符,800
15,天魔妖体Lv15,30,天魔妖体Lv16,32,悟空宝石,20,元宝,8500000,灵符,850
16,天魔妖体Lv16,32,天魔妖体Lv17,34,悟空宝石,22,元宝,9000000,灵符,900
17,天魔妖体Lv17,34,天魔妖体Lv18,36,悟空宝石,24,元宝,9500000,灵符,950
18,天魔妖体Lv18,36,天魔妖体Lv19,38,悟空宝石,26,元宝,10000000,灵符,1000
19,天魔妖体Lv19,38,天魔妖体Lv20,40,悟空宝石,28,元宝,12000000,灵符,1200
20,天魔妖体Lv20,40,天魔妖体大圆满,0,悟空宝石,0,元宝,0,灵符,0
