//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
//,分类,装备名,消耗货币,货币数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量
0,0,青铜斗笠,元宝,5000,炫光神石,10,,,,,,,,,,
1,0,白银斗笠,元宝,10000,炫光神石,20,青铜斗笠,2,,,,,,,,
2,0,黄金斗笠,元宝,30000,炫光神石,60,白银斗笠,2,,,,,,,,
3,0,铂金斗笠,元宝,50000,炫光神石,100,黄金斗笠,2,,,,,,,,
4,0,钻石斗笠,元宝,80000,炫光神石,160,铂金斗笠,2,,,,,,,,
5,1,青铜勋章,元宝,5000,炫光神石,10,,,,,,,,,,
6,1,白银勋章,元宝,10000,炫光神石,20,青铜勋章,,,,,,,,,
7,1,黄金勋章,元宝,30000,炫光神石,60,白银勋章,,,,,,,,,
8,1,铂金勋章,元宝,50000,炫光神石,100,黄金勋章,,,,,,,,,
9,1,钻石勋章,元宝,80000,炫光神石,160,铂金勋章,,,,,,,,,
10,2,战意麻痹,元宝,380000,炫光神石,388,,,<任意1级三级特戒系列*2/FCOLOR=255>,2,<灵符*188/FCOLOR=250>,188,,,,
11,2,道意复活,元宝,380000,炫光神石,388,,,<任意1级三级特戒系列*2/FCOLOR=255>,2,<灵符*188/FCOLOR=250>,188,,,,
12,2,魔意护身,元宝,380000,炫光神石,388,,,<任意1级三级特戒系列*2/FCOLOR=255>,2,<灵符*188/FCOLOR=250>,188,,,,
13,3,星耀斗笠,元宝,1000000,梦想神石,30,钻石斗笠,1,,,<灵符*200/FCOLOR=250>,200,,,,
14,3,王者斗笠,元宝,2000000,梦想神石,60,星耀斗笠,1,,,<灵符*400/FCOLOR=250>,400,,,,
15,3,传奇斗笠,元宝,3000000,梦想神石,90,王者斗笠,1,,,<灵符*600/FCOLOR=250>,600,,,,
16,3,荣耀斗笠,元宝,5000000,梦想神石,120,传奇斗笠,1,,,<灵符*800/FCOLOR=250>,800,,,,
17,3,至尊斗笠,元宝,7000000,梦想神石,150,荣耀斗笠,1,,,<灵符*1000/FCOLOR=250>,1000,,,,
18,4,星耀勋章,元宝,1000000,梦想神石,30,钻石勋章,1,,,<灵符*200/FCOLOR=250>,200,,,,
19,4,王者勋章,元宝,2000000,梦想神石,60,星耀勋章,1,,,<灵符*400/FCOLOR=250>,400,,,,
20,4,传奇勋章,元宝,3000000,梦想神石,90,王者勋章,1,,,<灵符*600/FCOLOR=250>,600,,,,
21,4,荣耀勋章,元宝,5000000,梦想神石,120,传奇勋章,1,,,<灵符*800/FCOLOR=250>,800,,,,
22,4,至尊勋章,元宝,7000000,梦想神石,150,荣耀勋章,1,,,<灵符*1000/FCOLOR=250>,1000,,,,
23,5,涅灭麻痹,元宝,1000000,梦想神石,38,,,<任意2级三特戒系列*2/FCOLOR=255>,2,<灵符*288/FCOLOR=250>,288,,,,
24,5,涅槃复活,元宝,1000000,梦想神石,38,,,<任意2级三特戒系列*2/FCOLOR=255>,2,<灵符*288/FCOLOR=250>,288,,,,
25,5,八卦护身,元宝,1000000,梦想神石,38,,,<任意2级三特戒系列*2/FCOLOR=255>,2,<灵符*288/FCOLOR=250>,288,,,,
26,5,王者麻痹,元宝,2000000,梦想神石,88,,,<任意3级三特戒系列*2/FCOLOR=255>,2,<灵符*588/FCOLOR=250>,588,<王者普通戒指系列*1/FCOLOR=252>,1,,
27,5,王者复活,元宝,2000000,梦想神石,88,,,<任意3级三特戒系列*2/FCOLOR=255>,2,<灵符*588/FCOLOR=250>,588,<王者普通戒指系列*1/FCOLOR=252>,1,,
