//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
//,分类,装备名,消耗货币,货币数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,装备类型,
0,0,无双·神剑,,,,,,,<王者武器随意*1把/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,武器,
1,0,无双·战甲,,,,,,,<王者衣服随意*1件/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,衣服,
2,0,无双·战衣,,,,,,,<王者衣服随意*1件/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,衣服,
3,0,无双·战盔,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
4,0,无双·战链,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
5,0,无双·战镯,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
6,0,无双·战戒,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
7,0,无双·战带,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
8,0,无双·战靴,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
9,1,无双·魔杖,,,,,,,<王者武器随意*1把/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,武器,
10,1,无双·魔袍,,,,,,,<王者衣服随意*1件/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,衣服,
11,1,无双·魔衣,,,,,,,<王者衣服随意*1件/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,衣服,
12,1,无双·魔盔,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
13,1,无双·魔链,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
14,1,无双·魔镯,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
15,1,无双·魔戒,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
16,1,无双·魔带,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
17,1,无双·魔靴,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
18,2,无双·道扇,,,,,,,<王者武器随意*1把/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,武器,
19,2,无双·道袍,,,,,,,<王者衣服随意*1件/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,衣服,
20,2,无双·道衣,,,,,,,<王者衣服随意*1件/FCOLOR=255>,1,<灵符*3888/FCOLOR=250>,3888,,,衣服,
21,2,无双·道盔,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
22,2,无双·道链,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
23,2,无双·道镯,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
24,2,无双·道戒,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
25,2,无双·道带,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
26,2,无双·道靴,,,,,,,<王者首饰随意*1件/FCOLOR=255>,1,<灵符*1888/FCOLOR=250>,1888,,,首饰,
