//,1,2,3,4,5,6,7,8,9,10
//,当前等级,当前属性,下级等级,下级属性,打造材料,材料数量,打造货币,货币数量,打造货币,货币数量
0,荒古圣体Lv0,0,荒古圣体Lv1,1,梦想神石,10,元宝,1000000,灵符,50
1,荒古圣体Lv1,1,荒古圣体Lv2,2,梦想神石,20,元宝,1500000,灵符,100
2,荒古圣体Lv2,2,荒古圣体Lv3,3,梦想神石,30,元宝,2000000,灵符,150
3,荒古圣体Lv3,3,荒古圣体Lv4,4,梦想神石,40,元宝,2500000,灵符,200
4,荒古圣体Lv4,4,荒古圣体Lv5,5,梦想神石,50,元宝,3000000,灵符,250
5,荒古圣体Lv5,5,荒古圣体Lv6,6,梦想神石,60,元宝,3500000,灵符,300
6,荒古圣体Lv6,6,荒古圣体Lv7,7,梦想神石,70,元宝,4000000,灵符,350
7,荒古圣体Lv7,7,荒古圣体Lv8,8,梦想神石,80,元宝,4500000,灵符,400
8,荒古圣体Lv8,8,荒古圣体Lv9,9,梦想神石,90,元宝,5000000,灵符,450
9,荒古圣体Lv9,9,荒古圣体Lv10,10,梦想神石,100,元宝,5500000,灵符,500
10,荒古圣体Lv10,10,荒古圣体Lv11,11,悟空宝石,10,元宝,6000000,灵符,600
11,荒古圣体Lv11,11,荒古圣体Lv12,12,悟空宝石,12,元宝,6500000,灵符,650
12,荒古圣体Lv12,12,荒古圣体Lv13,13,悟空宝石,14,元宝,7000000,灵符,700
13,荒古圣体Lv13,13,荒古圣体Lv14,14,悟空宝石,16,元宝,7500000,灵符,750
14,荒古圣体Lv14,14,荒古圣体Lv15,15,悟空宝石,18,元宝,8000000,灵符,800
15,荒古圣体Lv15,15,荒古圣体Lv16,16,悟空宝石,20,元宝,8500000,灵符,850
16,荒古圣体Lv16,16,荒古圣体Lv17,17,悟空宝石,22,元宝,9000000,灵符,900
17,荒古圣体Lv17,17,荒古圣体Lv18,18,悟空宝石,24,元宝,9500000,灵符,950
18,荒古圣体Lv18,18,荒古圣体Lv19,19,悟空宝石,26,元宝,10000000,灵符,1000
19,荒古圣体Lv19,19,荒古圣体Lv20,20,悟空宝石,28,元宝,12000000,灵符,1200
20,荒古圣体Lv20,20,荒古圣体大圆满,0,悟空宝石,0,元宝,0,灵符,0
