//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
//,分类,装备名,消耗货币,货币数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,装备类型,
0,0,蓝月复古·神斩,,,命运莲花,30,,,<无双武器随意*2把/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,武器,
1,0,蓝月复古·战甲,,,命运莲花,30,,,<无双衣服随意*2件/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,衣服,
2,0,蓝月复古·战衣,,,命运莲花,30,,,<无双衣服随意*2件/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,衣服,
3,0,蓝月复古·战盔,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
4,0,蓝月复古·战链,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
5,0,蓝月复古·战镯,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
6,0,蓝月复古·战戒,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
7,0,蓝月复古·战带,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
8,0,蓝月复古·战靴,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
9,1,蓝月复古·魔杖,,,命运莲花,30,,,<无双武器随意*2把/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,武器,
10,1,蓝月复古·魔袍,,,命运莲花,30,,,<无双衣服随意*2件/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,衣服,
11,1,蓝月复古·魔衣,,,命运莲花,30,,,<无双衣服随意*2件/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,衣服,
12,1,蓝月复古·魔盔,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
13,1,蓝月复古·魔链,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
14,1,蓝月复古·魔镯,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
15,1,蓝月复古·魔戒,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
16,1,蓝月复古·魔带,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
17,1,蓝月复古·魔靴,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
18,2,蓝月复古·道刃,,,命运莲花,30,,,<无双武器随意*2把/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,武器,
19,2,蓝月复古·道袍,,,命运莲花,30,,,<无双衣服随意*2件/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,衣服,
20,2,蓝月复古·道衣,,,命运莲花,30,,,<无双衣服随意*2件/FCOLOR=255>,2,<灵符*3888/FCOLOR=250>,3888,,,衣服,
21,2,蓝月复古·道盔,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
22,2,蓝月复古·道链,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
23,2,蓝月复古·道镯,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
24,2,蓝月复古·道戒,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
25,2,蓝月复古·道带,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
26,2,蓝月复古·道靴,,,命运莲花,10,,,<无双首饰随意*2件/FCOLOR=255>,2,<灵符*1888/FCOLOR=250>,1888,,,首饰,
