//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
//,分类,装备名,消耗货币,货币数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,装备类型,
0,0,王者·神剑,,,,,,,<轩辕武器随意*1把/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,武器,
1,0,王者·战甲,,,,,,,<轩辕衣服随意*1件/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,衣服,
2,0,王者·战衣,,,,,,,<轩辕衣服随意*1件/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,衣服,
3,0,王者·战盔,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
4,0,王者·战链,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
5,0,王者·战镯,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
6,0,王者·战戒,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
7,0,王者·战带,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
8,0,王者·战靴,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
9,1,王者·魔杖,,,,,,,<轩辕武器随意*1把/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,武器,
10,1,王者·魔袍,,,,,,,<轩辕衣服随意*1件/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,衣服,
11,1,王者·魔衣,,,,,,,<轩辕衣服随意*1件/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,衣服,
12,1,王者·魔盔,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
13,1,王者·魔链,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
14,1,王者·魔镯,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
15,1,王者·魔戒,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
16,1,王者·魔带,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
17,1,王者·魔靴,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
18,2,王者·道扇,,,,,,,<轩辕武器随意*1把/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,武器,
19,2,王者·道袍,,,,,,,<轩辕衣服随意*1件/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,衣服,
20,2,王者·道衣,,,,,,,<轩辕衣服随意*1件/FCOLOR=255>,1,<灵符*588/FCOLOR=250>,588,,,衣服,
21,2,王者·道盔,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
22,2,王者·道链,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
23,2,王者·道镯,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
24,2,王者·道戒,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
25,2,王者·道带,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
26,2,王者·道靴,,,,,,,<轩辕首饰随意*1件/FCOLOR=255>,1,<灵符*288/FCOLOR=250>,288,,,首饰,
