//,1,2,3,4,5,6,7,8
//,当前,下阶,材料,数量,货币,下级装备,土豪升级,数量
0,无贵族VIP,贵族VIP1,炫光神石,10,元宝,10000,充值点,10
1,贵族VIP1,贵族VIP2,炫光神石,20,元宝,20000,充值点,20
2,贵族VIP2,贵族VIP3,炫光神石,30,元宝,30000,充值点,30
3,贵族VIP3,贵族VIP4,炫光神石,50,元宝,50000,充值点,50
4,贵族VIP4,贵族VIP5,炫光神石,70,元宝,70000,充值点,100
5,贵族VIP5,贵族VIP6,炫光神石,90,元宝,90000,充值点,150
6,贵族VIP6,贵族VIP7,炫光神石,120,元宝,120000,充值点,200
7,贵族VIP7,贵族VIP8,炫光神石,150,元宝,150000,充值点,300
8,贵族VIP8,贵族VIP9,炫光神石,180,元宝,180000,充值点,400
9,贵族VIP9,贵族VIP10,炫光神石,200,元宝,200000,充值点,500
10,贵族VIP10,贵族VIP11,炫光神石,250,元宝,250000,充值点,700
11,贵族VIP11,贵族VIP12,炫光神石,300,元宝,300000,充值点,900
12,贵族VIP12,贵族VIP13,炫光神石,350,元宝,350000,充值点,1200
13,贵族VIP13,贵族VIP14,炫光神石,400,元宝,400000,充值点,1500
14,贵族VIP14,贵族VIP15,炫光神石,450,元宝,450000,充值点,2000
15,贵族VIP15,贵族VIP16,炫光神石,500,元宝,500000,充值点,2500
16,贵族VIP16,贵族VIP17,梦想神石,10,元宝,1000000,充值点,3000
17,贵族VIP17,贵族VIP18,梦想神石,25,元宝,2500000,充值点,3500
18,贵族VIP18,贵族VIP19,梦想神石,50,元宝,5000000,充值点,4000
19,贵族VIP19,贵族VIP20,梦想神石,70,元宝,7000000,充值点,4500
20,贵族VIP20,贵族VIP21,梦想神石,100,元宝,10000000,充值点,5000
21,贵族VIP21,贵族VIP22,梦想神石,46000,元宝,10000,充值点,
