OnTimer0   新人礼物
OnTimer1   夺宝经验
OnTimer2   能量兑换
OnTimer3   押镖系统
OnTimer4   监狱系统
OnTimer5   夺宝捡取
OnTimer6   夺宝作弊
OnTimer7   散人天堂
OnTimer8   神秘山谷
OnTimer9-14生死副本
OnTimer15  赌庄胖妞
OnTimer16  群英争霸
OnTimer17  行会争霸
OnTimer18  经验宝典
OnTimer19  经验宝典
OnTimer20  经验宝典
OnTimer21  散人打宝
OnTimer22  禁止外援
OnTimer39  假人系统
OnTimer40  泡点系统


[001]      胖妞赌博 记录参与状态
[002]      猜点赌博 记录参与状态
[003]      循环任务 记录任务4接受状态

U0         新人礼物 未领取的记录
U1         新人礼物 领取过的记录
U2         爱情大使 免费赠送次数
U3         爱情大使 免费接收次数
U4         爱情大使 记录爱情值
U5         神秘山谷 记录神秘值
U6         生死副本 记录免费挑战次数
U7         争分夺秒 记录幸运值轮数
U8         押镖系统 记录免费运镖次数
U9         争分夺秒 记录幸运值
U10        能量兑换 记录每天使用泡点值400上限
U11        雇佣兵   记录雇佣兵等级
U12        元宝捐赠 记录元宝捐赠数量
U13        大米兑换  记录游戏金币数大米余额
U14        暗黑副本 记录免费挑战次数
U15        监狱系统 记录进入监狱次数
U16        监狱系统 记录刑期小时
U17        监狱系统 记录刑期分钟
U18        监狱系统 记录刑期秒钟
U20        赠花系统 记录鲜花魅力值
U21        主线任务 记录任务进度
U22        主线任务 记录任务杀怪数量一
U23        主线任务 记录任务杀怪数量二
U24        主线任务 记录任务杀怪数量三
U25        每日任务 记录任务1的次数
U26        每日任务 记录任务2的次数
U27        每日任务 记录任务3的次数
U28        每日任务 记录任务4的次数
U29        每日任务 记录任务5的次数
U30        每日任务 记录任务5杀怪数量
U31        循环任务 记录任务4杀怪数量
U32        会员服务 记录领取工资
U33        会员服务 记录免费洗红
U34        经验宝典 记录杀怪双倍经验时间
U35        经验宝典 记录杀怪三倍经验时间
U36        经验宝典 记录杀怪四倍经验时间
U37        押镖系统 记录领取令牌次数
U44        赞助大使 记录赞助大使级别
